================================================================
MINERVINI'S HISTORICAL TWITTER TRADE IDEAS
================================================================
Source: Charlie M's Notion (puzzled-savory-63c.notion.site)
Collection by: @traderCharlieM
About: Mark Minervini's Twitter trade ideas database
================================================================

=== DESCRIPTION ===

Welcome! I have gone through every tweet Mark Minervini has made since the start of his Twitter account (over 10,000 tweets), and recorded almost all of the trades/ideas he has shared on his Twitter page. (made by @traderCharlieM)

Before we go into the instructions and how to use this, I would like to thank Mark Minervini for everything he has done. Most of what I know from trading, I have learned from him. We are blessed to have Mark sharing his wisdom, and his tweets are a treasure trove of them. 💓

Lastly, I’ve also collected a database of hundreds of Mark Minervini’s best tweets on Trading and Mindset wisdom, if you’d like them can get them by clicking the link below:
https://drive.google.com/drive/folders/1G2G8jhkrYlc-zH2_jLmbmoyBYTbbvoXi?usp=sharing

Instructions📔: 

When you over hover over a ticker, click the ‘OPEN’ button that pops up. It will open a tab showing Mark’s tweet explaining the trade idea. Then there will be a corresponding chart. The chart has the 20 (blue), 50 (green), and 200 (pink) simple moving averages on them and volume. The blue horizontal lines are pivots I drew in highlighting where Mark was most likely watching to buy as price was breaking out from. For some charts, if there is a dotted line connected to a candle, that means Mark bought on that day. You can disregard the Dollar volume and ADR boxes if they aren’t important to you. Some of the charts have the 10 & 20 EMAs instead of the 20SMA only. If there is another tweet after that chart, that means Mark followed up with another tweet on the trade and there will be another chart corresponding to that tweet. This will continue on until Mark does not share about the trade anymore. For many of the trades, Mark shared the entry only and the trade wasn’t talked about again.

Please note that not all of the trade ideas here were trades Mark took himself! Some were tickers he put on the Buy Alert list for MPA and other circumstances. I also did not record any short trade ideas he shared. Also, for some charts, they are in arithmetic scale and for others they are in log scale to view better. If the price axis is decimalized (ex: 176.54), it is most likely in log scale.

⚠️PLEASE READ THIS⚠️: With the charts, I try to provide as accurately as I could the buy points Mark most likely bought through. However, sometimes, it was hard to discern where he bought and I could not tell from the tweets alone, so some of the pivots and buy points I highlight can be wrong. I believe that for over 90% of the entries, I did highlight the buy points correctly. For the ones I was unsure about, many will show me expressing my uncertainty on where he bought. Expect some mistakes and imperfections with this log.


Disclaimer: The information provided is for educational and informational purposes only. I am not a financial advisor.


=== DATABASE SCHEMA ===
Column 1: Ticker (title) - Stock ticker symbol
Column 2: Date (date) - Date of the trade idea tweet

=== INSTRUCTIONS (from the page) ===

When you hover over a ticker, click the OPEN button that pops up.
It will open a tab showing Mark's tweet explaining the trade idea.
Then there will be a corresponding chart with:
  - 20 SMA (blue)
  - 50 SMA (green)
  - 200 SMA (pink)
  - Volume bars
  - Blue horizontal lines = pivots (breakout buy points)
  - Dotted lines connected to candles = Mark bought on that day
  - Dollar volume and ADR boxes (optional info)
  - Some charts have 10 & 20 EMAs instead of 20SMA

Notes:
  - Not all trade ideas were trades Mark took himself
  - Some were Buy Alert list tickers for MPA
  - No short trade ideas were recorded
  - Charts are in arithmetic or log scale
  - Buy points highlighted are ~90%+ accurate

Google Drive link for Mark Minervini Trading & Mindset wisdom tweets:
https://drive.google.com/drive/folders/1G2G8jhkrYlc-zH2_jLmbmoyBYTbbvoXi?usp=sharing

================================================================
=== ALL 908 TRADE IDEAS (sorted by date) ===
================================================================

No. | Ticker | Date
----|--------|----------
  1 | SLGN    | 1997-04-16
  2 | MANU    | 1997-04-24
  3 | TKLC    | 1997-05-01
  4 | MRK     | 1997-05-05
  5 | AES     | 1997-05-05
  6 | HD      | 1997-05-05
  7 | QLGC    | 1997-05-09
  8 | NOK     | 1997-05-14
  9 | GTW     | 1997-05-15
 10 | MER     | 1997-05-20
 11 | CWTR    | 1997-06-23
 12 | VSAT    | 1997-06-23
 13 | ARQL    | 1997-06-23
 14 | PWAV    | 1997-06-27
 15 | PWAV    | 1997-07-02
 16 | CYMI    | 1997-07-07
 17 | BKE     | 1997-07-10
 18 | QFAB    | 1997-07-24
 19 | VECO    | 1997-07-24
 20 | TAGS    | 1997-07-28
 21 | RMBS    | 1997-07-29
 22 | MIND    | 1997-08-04
 23 | VCI     | 2010-01-28
 24 | TEN     | 2010-02-02
 25 | PCYC    | 2010-02-04
 26 | ASPS    | 2010-02-08
 27 | INCY    | 2010-02-09
 28 | MGA     | 2010-02-10
 29 | MIC     | 2010-02-12
 30 | LTD     | 2010-02-12
 31 | DLM     | 2010-02-16
 32 | IPXL    | 2010-02-22
 33 | F       | 2010-02-23
 34 | ALGN    | 2010-02-24
 35 | MJN     | 2010-02-26
 36 | RVI     | 2010-03-01
 37 | MIC     | 2010-03-05
 38 | VECO    | 2010-03-09
 39 | EK      | 2010-03-15
 40 | AXL     | 2010-03-15
 41 | MRVL    | 2010-03-16
 42 | OSIS    | 2010-03-18
 43 | SOA     | 2010-03-18
 44 | PCYC    | 2010-03-22
 45 | HGSI    | 2010-03-23
 46 | V       | 2010-03-23
 47 | SIRO    | 2010-03-24
 48 | CRUS    | 2010-03-30
 49 | JOES    | 2010-04-05
 50 | BIDU    | 2010-04-06
 51 | AMZN    | 2010-04-08
 52 | NUS     | 2010-04-09
 53 | KLIC    | 2010-04-09
 54 | NTY     | 2010-04-12
 55 | MAPP    | 2010-04-12
 56 | LZB     | 2010-04-13
 57 | SANM    | 2010-04-13
 58 | JCG     | 2010-04-13
 59 | AXL     | 2010-04-14
 60 | EPAY    | 2010-04-14
 61 | SVNT    | 2010-04-15
 62 | GES     | 2010-04-15
 63 | MERC    | 2010-04-15
 64 | VCI     | 2010-04-19
 65 | MSPD    | 2010-04-22
 66 | KTCC    | 2010-04-23
 67 | XTEX    | 2010-04-23
 68 | MAT     | 2010-04-26
 69 | ISBC    | 2010-04-30
 70 | PKOH    | 2010-06-03
 71 | OSTK    | 2010-06-21
 72 | CVGI    | 2010-06-21
 73 | HELE    | 2011-06-28
 74 | GCOM    | 2011-06-28
 75 | WLP     | 2011-07-01
 76 | QCOR    | 2011-07-01
 77 | HS      | 2011-07-01
 78 | ASGN    | 2011-07-01
 79 | CSII    | 2011-07-01
 80 | ILMN    | 2011-07-05
 81 | HUM     | 2011-07-05
 82 | RRGB    | 2011-07-05
 83 | CBST    | 2011-07-05
 84 | LAVA    | 2011-07-06
 85 | FEIC    | 2011-07-07
 86 | OME     | 2011-07-08
 87 | ALLT    | 2011-07-13
 88 | INSM    | 2011-07-13
 89 | KKD     | 2011-07-19
 90 | NATR    | 2011-07-20
 91 | PANL    | 2011-09-20
 92 | GMCR    | 2011-09-20
